time,open,high,low,close,volume,num_trades,qav,taker_buy_bav,taker_buy_qav
2020-08-09 17:59:59.999000,386.64000000,391.38000000,384.34000000,385.08000000,52181.65447000,30968,20234861.93274310,26342.06957000,10222246.58804570
2020-08-09 19:59:59.999000,385.09000000,391.13000000,385.02000000,389.48000000,35621.26656000,20416,13857128.89588490,18447.52616000,7175155.79653920
2020-08-09 21:59:59.999000,389.48000000,394.30000000,388.01000000,389.17000000,39114.56471000,21935,15311125.33861320,22576.95403000,8840731.00687550
2020-08-09 23:59:59.999000,389.17000000,391.27000000,387.20000000,390.14000000,32226.02145000,18203,12530381.94953580,15092.63933000,5868309.78446390
2020-08-10 01:59:59.999000,390.14000000,395.17000000,390.14000000,394.80000000,56576.45318000,30014,22188324.46969780,29877.40976000,11720519.54439060
2020-08-10 03:59:59.999000,394.74000000,398.37000000,392.99000000,397.17000000,127438.61137000,62927,50522800.62077680,63935.39347000,25353403.07725970
2020-08-10 05:59:59.999000,397.18000000,399.18000000,393.02000000,394.68000000,95770.54976000,36558,37919987.30541430,54259.38420000,21485365.56698600
2020-08-10 07:59:59.999000,394.66000000,396.65000000,393.80000000,395.02000000,49178.88957000,25009,19450411.68932220,24360.38549000,9634271.81325640
2020-08-10 09:59:59.999000,395.04000000,396.60000000,393.44000000,394.30000000,59495.13544000,26746,23512211.89077750,27471.93649000,10856969.06063140
2020-08-10 11:59:59.999000,394.30000000,395.49000000,385.13000000,391.02000000,100231.34436000,45912,39148790.69655050,45376.45063000,17728622.86781060
2020-08-10 13:59:59.999000,391.01000000,396.00000000,390.33000000,395.90000000,68719.66009000,33631,27058026.29484430,36269.10738000,14283543.31040490
2020-08-10 15:59:59.999000,395.91000000,397.00000000,391.80000000,396.79000000,63145.55871000,29792,24952187.71939330,31688.48343000,12523664.83284140
2020-08-10 17:59:59.999000,396.78000000,397.64000000,393.00000000,397.13000000,78200.25415000,36188,30937258.46999280,36356.42197000,14387211.22507880
2020-08-10 19:59:59.999000,397.14000000,398.60000000,394.34000000,395.55000000,55792.66462000,28440,22125293.45536390,28450.73151000,11285203.51194880
2020-08-10 21:59:59.999000,395.57000000,396.73000000,391.56000000,393.53000000,39238.57030000,21932,15475860.13369800,16427.48180000,6480860.43964170
2020-08-10 23:59:59.999000,393.50000000,395.81000000,391.67000000,395.44000000,33182.21478000,17974,13081282.15122770,15200.15956000,5992566.45548250
2020-08-11 01:59:59.999000,395.43000000,397.63000000,393.57000000,397.14000000,50550.82179000,25096,20016834.20590620,24450.71755000,9684804.35488660
2020-08-11 03:59:59.999000,397.11000000,398.21000000,392.70000000,394.17000000,58926.23832000,29251,23339805.25223400,30034.49612000,11899608.77799800
2020-08-11 05:59:59.999000,394.17000000,396.35000000,392.70000000,395.10000000,40736.65899000,20678,16071720.72115710,21212.11501000,8369358.03676840
2020-08-11 07:59:59.999000,395.10000000,395.10000000,388.68000000,390.98000000,77779.41345000,34895,30458527.74074360,34604.41709000,13552189.70241710
2020-08-11 09:59:59.999000,390.98000000,392.40000000,388.68000000,389.57000000,53528.29000000,29345,20901827.42122010,24315.02141000,9495837.18895670
2020-08-11 11:59:59.999000,389.57000000,392.31000000,387.41000000,391.49000000,56389.73048000,27263,22003146.67807680,26878.59390000,10491311.40027960
2020-08-11 13:59:59.999000,391.46000000,391.46000000,382.60000000,388.96000000,145470.62881000,57389,56230457.37342620,64375.15208000,24890639.91115700
2020-08-11 15:59:59.999000,388.95000000,389.13000000,377.40000000,382.28000000,120473.13641000,51344,46225731.04522560,54039.14451000,20740769.17592410
2020-08-11 17:59:59.999000,382.26000000,386.56000000,376.24000000,385.72000000,110474.42746000,51843,42229491.14111970,55350.99503000,21166494.15428880
2020-08-11 19:59:59.999000,385.72000000,385.75000000,378.69000000,380.53000000,52530.23860000,27302,20035262.99398790,25442.96225000,9703227.04663570
2020-08-11 21:59:59.999000,380.53000000,380.56000000,367.00000000,373.96000000,152329.62368000,70325,56897543.24570730,64067.13483000,23930780.77438580
2020-08-11 23:59:59.999000,373.96000000,381.90000000,372.28000000,379.00000000,73223.39431000,34892,27571266.80286780,40317.92098000,15181047.88385170
2020-08-12 01:59:59.999000,378.99000000,380.53000000,375.80000000,378.11000000,53147.85891000,26711,20112183.66073620,27005.41722000,10216948.50649990
2020-08-12 03:59:59.999000,378.12000000,378.78000000,372.38000000,377.38000000,66123.38938000,28878,24788784.86600970,33451.16071000,12541920.84016500
2020-08-12 05:59:59.999000,377.36000000,377.93000000,369.50000000,369.79000000,69742.47386000,30248,26041119.30021800,32985.35641000,12322606.10427830
2020-08-12 07:59:59.999000,369.78000000,380.68000000,365.85000000,379.09000000,104946.31092000,41812,39259382.54115440,51368.04599000,19227860.98265430
2020-08-12 09:59:59.999000,379.10000000,382.00000000,377.45000000,380.86000000,72788.76244000,32215,27643999.51914820,35464.73609000,13468258.71593300
2020-08-12 11:59:59.999000,380.87000000,384.80000000,380.13000000,381.72000000,68718.22666000,31904,26307061.03106810,35518.67438000,13596375.61848720
2020-08-12 13:59:59.999000,381.72000000,386.50000000,379.74000000,386.31000000,60594.39474000,28538,23225952.38668090,31504.40042000,12077438.92676960
2020-08-12 15:59:59.999000,386.32000000,386.99000000,383.54000000,385.01000000,61054.31525000,30793,23514007.63592000,31618.63190000,12178802.26788190
2020-08-12 17:59:59.999000,385.09000000,386.27000000,380.06000000,383.50000000,64233.27711000,30157,24600455.85949410,31349.17670000,12007733.14603720
2020-08-12 19:59:59.999000,383.48000000,388.85000000,382.06000000,386.93000000,57295.83490000,26238,22092474.62963550,32213.81628000,12422449.28790890
2020-08-12 21:59:59.999000,386.97000000,389.23000000,382.41000000,382.81000000,37635.89523000,21101,14540408.25398580,18320.69537000,7079952.55587180
2020-08-12 23:59:59.999000,382.82000000,388.00000000,382.80000000,387.18000000,35568.05890000,20487,13746637.96004280,18076.72346000,6986748.77811060
2020-08-13 01:59:59.999000,387.18000000,394.90000000,386.48000000,391.81000000,110652.45458000,44635,43356028.55465000,64138.66110000,25131684.05854850
2020-08-13 03:59:59.999000,391.82000000,394.56000000,390.00000000,394.54000000,68003.61838000,30750,26682057.77568050,36146.58337000,14185207.26472160
2020-08-13 05:59:59.999000,394.54000000,396.10000000,390.70000000,391.77000000,76774.82188000,33751,30222679.37853830,40106.82060000,15796593.88681690
